sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
245844959 E124 21 1 0 0 left 16 -1 -1 
245845969 E124 21 1 0 0 left 16 -1 -1 
245846463 E124 21 1 0 0 left 16 459 0 
245849974 E124 21 1 0 0 left 16 459 0 
245852974 E124 21 1 0 0 left 16 459 0 
245852981 E124 21 1 1 0 left 32 -1 -1 
245853992 E124 21 1 1 0 left 32 -1 -1 
245854647 E124 21 1 1 0 left 32 603 1 
245858296 E124 21 1 1 0 left 32 603 1 
245861296 E124 21 1 1 0 left 32 603 1 
245861303 E124 21 1 2 0 right 32 -1 -1 
245862315 E124 21 1 2 0 right 32 -1 -1 
245863415 E124 21 1 2 0 right 32 1049 0 
245869171 E124 21 1 2 0 right 32 1049 0 
245872171 E124 21 1 2 0 right 32 1049 0 
245872178 E124 21 1 3 0 right 64 -1 -1 
245873189 E124 21 1 3 0 right 64 -1 -1 
245873806 E124 21 1 3 0 right 64 532 1 
245877327 E124 21 1 3 0 right 64 532 1 
245880327 E124 21 1 3 0 right 64 532 1 
245880336 E124 21 1 4 0 right 16 -1 -1 
245881345 E124 21 1 4 0 right 16 -1 -1 
245881950 E124 21 1 4 0 right 16 570 0 
245885466 E124 21 1 4 0 right 16 570 0 
245888466 E124 21 1 4 0 right 16 570 0 
245888473 E124 21 1 5 0 right 32 -1 -1 
245889485 E124 21 1 5 0 right 32 -1 -1 
245890166 E124 21 1 5 0 right 32 630 1 
245894023 E124 21 1 5 0 right 32 630 1 
245897023 E124 21 1 5 0 right 32 630 1 
245897029 E124 21 1 6 0 right 32 -1 -1 
245898041 E124 21 1 6 0 right 32 -1 -1 
245898686 E124 21 1 6 0 right 32 593 1 
245902679 E124 21 1 6 0 right 32 593 1 
245905679 E124 21 1 6 0 right 32 593 1 
245905685 E124 21 1 7 0 left 32 -1 -1 
245906697 E124 21 1 7 0 left 32 -1 -1 
245907374 E124 21 1 7 0 left 32 625 1 
245913871 E124 21 1 7 0 left 32 625 1 
245916871 E124 21 1 7 0 left 32 625 1 
245916878 E124 21 1 8 0 right 32 -1 -1 
245917889 E124 21 1 8 0 right 32 -1 -1 
245918686 E124 21 1 8 0 right 32 745 1 
245923761 E124 21 1 8 0 right 32 745 1 
245926761 E124 21 1 8 0 right 32 745 1 
245926768 E124 21 1 9 0 right 48 -1 -1 
245927780 E124 21 1 9 0 right 48 -1 -1 
245928358 E124 21 1 9 0 right 48 510 1 
245931967 E124 21 1 9 0 right 48 510 1 
245934967 E124 21 1 9 0 right 48 510 1 
245934974 E124 21 1 10 0 right 16 -1 -1 
245935986 E124 21 1 10 0 right 16 -1 -1 
245936566 E124 21 1 10 0 right 16 545 1 
245941474 E124 21 1 10 0 right 16 545 1 
245944474 E124 21 1 10 0 right 16 545 1 
245944483 E124 21 1 11 0 right 48 -1 -1 
245945493 E124 21 1 11 0 right 48 -1 -1 
245946054 E124 21 1 11 0 right 48 492 1 
245950097 E124 21 1 11 0 right 48 492 1 
245953097 E124 21 1 11 0 right 48 492 1 
245953104 E124 21 1 12 0 right 64 -1 -1 
245954116 E124 21 1 12 0 right 64 -1 -1 
245954605 E124 21 1 12 0 right 64 404 1 
245958253 E124 21 1 12 0 right 64 404 1 
245961254 E124 21 1 12 0 right 64 404 1 
245961261 E124 21 1 13 0 left 48 -1 -1 
245962272 E124 21 1 13 0 left 48 -1 -1 
245963125 E124 21 1 13 0 left 48 785 1 
245966943 E124 21 1 13 0 left 48 785 1 
245969943 E124 21 1 13 0 left 48 785 1 
245969950 E124 21 1 14 0 left 16 -1 -1 
245970962 E124 21 1 14 0 left 16 -1 -1 
245972094 E124 21 1 14 0 left 16 1081 1 
245976784 E124 21 1 14 0 left 16 1081 1 
245979784 E124 21 1 14 0 left 16 1081 1 
245979791 E124 21 1 15 0 left 64 -1 -1 
245980802 E124 21 1 15 0 left 64 -1 -1 
245981454 E124 21 1 15 0 left 64 567 1 
245985340 E124 21 1 15 0 left 64 567 1 
245988340 E124 21 1 15 0 left 64 567 1 
245988347 E124 21 1 16 0 left 16 -1 -1 
245989359 E124 21 1 16 0 left 16 -1 -1 
245990413 E124 21 1 16 0 left 16 1019 1 
245994897 E124 21 1 16 0 left 16 1019 1 
245997897 E124 21 1 16 0 left 16 1019 1 
245997904 E124 21 1 17 0 left 64 -1 -1 
245998916 E124 21 1 17 0 left 64 -1 -1 
245999661 E124 21 1 17 0 left 64 660 1 
246003787 E124 21 1 17 0 left 64 660 1 
246006787 E124 21 1 17 0 left 64 660 1 
246006794 E124 21 1 18 0 right 64 -1 -1 
246007806 E124 21 1 18 0 right 64 -1 -1 
246008988 E124 21 1 18 0 right 64 1097 1 
246013194 E124 21 1 18 0 right 64 1097 1 
246016194 E124 21 1 18 0 right 64 1097 1 
246016201 E124 21 1 19 0 left 32 -1 -1 
246017213 E124 21 1 19 0 left 32 -1 -1 
246017892 E124 21 1 19 0 left 32 628 1 
246022935 E124 21 1 19 0 left 32 628 1 
246025935 E124 21 1 19 0 left 32 628 1 
246025942 E124 21 1 20 0 right 32 -1 -1 
246026953 E124 21 1 20 0 right 32 -1 -1 
246027612 E124 21 1 20 0 right 32 607 0 
246032075 E124 21 1 20 0 right 32 607 0 
246035075 E124 21 1 20 0 right 32 607 0 
246035082 E124 21 1 21 0 left 32 -1 -1 
246036094 E124 21 1 21 0 left 32 -1 -1 
246037253 E124 21 1 21 0 left 32 1108 1 
246041599 E124 21 1 21 0 left 32 1108 1 
246044599 E124 21 1 21 0 left 32 1108 1 
246044605 E124 21 1 22 0 right 48 -1 -1 
246045617 E124 21 1 22 0 right 48 -1 -1 
246046148 E124 21 1 22 0 right 48 463 1 
246050055 E124 21 1 22 0 right 48 463 1 
246053055 E124 21 1 22 0 right 48 463 1 
246053062 E124 21 1 23 0 left 64 -1 -1 
246054073 E124 21 1 23 0 left 64 -1 -1 
246054701 E124 21 1 23 0 left 64 543 1 
246063615 E124 21 1 23 0 left 64 543 1 
246066615 E124 21 1 23 0 left 64 543 1 
246066621 E124 21 1 24 0 left 16 -1 -1 
246067634 E124 21 1 24 0 left 16 -1 -1 
246068507 E124 21 1 24 0 left 16 839 1 
246072572 E124 21 1 24 0 left 16 839 1 
246075572 E124 21 1 24 0 left 16 839 1 
246075578 E124 21 1 25 0 left 48 -1 -1 
246076590 E124 21 1 25 0 left 48 -1 -1 
246077227 E124 21 1 25 0 left 48 569 1 
246081261 E124 21 1 25 0 left 48 569 1 
