sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
182949761 E123 23 1 0 0 left 64 -1 -1 
182950777 E123 23 1 0 0 left 64 -1 -1 
182953825 E123 23 1 0 0 left 64 2963 0 
182963871 E123 23 1 0 0 left 64 2963 0 
182966871 E123 23 1 0 0 left 64 2963 0 
182966878 E123 23 1 1 0 left 64 -1 -1 
182967890 E123 23 1 1 0 left 64 -1 -1 
182970313 E123 23 1 1 0 left 64 2338 1 
182977632 E123 23 1 1 0 left 64 2338 1 
182980632 E123 23 1 1 0 left 64 2338 1 
182980638 E123 23 1 2 0 right 32 -1 -1 
182981650 E123 23 1 2 0 right 32 -1 -1 
182984702 E123 23 1 2 0 right 32 3000 2 
182990107 E123 23 1 2 0 right 32 3000 2 
182993107 E123 23 1 2 0 right 32 3000 2 
182993113 E123 23 1 3 0 left 16 -1 -1 
182994126 E123 23 1 3 0 left 16 -1 -1 
182997161 E123 23 1 3 0 left 16 3000 2 
183002800 E123 23 1 3 0 left 16 3000 2 
183005800 E123 23 1 3 0 left 16 3000 2 
183005806 E123 23 1 4 0 right 64 -1 -1 
183006819 E123 23 1 4 0 right 64 -1 -1 
183009904 E123 23 1 4 0 right 64 3000 2 
183014809 E123 23 1 4 0 right 64 3000 2 
183017809 E123 23 1 4 0 right 64 3000 2 
183017815 E123 23 1 5 0 right 16 -1 -1 
183018828 E123 23 1 5 0 right 16 -1 -1 
183021863 E123 23 1 5 0 right 16 3000 2 
183026901 E123 23 1 5 0 right 16 3000 2 
183029901 E123 23 1 5 0 right 16 3000 2 
183029909 E123 23 1 6 0 left 64 -1 -1 
183030920 E123 23 1 6 0 left 64 -1 -1 
183034005 E123 23 1 6 0 left 64 3000 2 
183038960 E123 23 1 6 0 left 64 3000 2 
183041960 E123 23 1 6 0 left 64 3000 2 
183041966 E123 23 1 7 0 right 64 -1 -1 
183042979 E123 23 1 7 0 right 64 -1 -1 
183044695 E123 23 1 7 0 right 64 1631 1 
183050952 E123 23 1 7 0 right 64 1631 1 
183053952 E123 23 1 7 0 right 64 1631 1 
183053958 E123 23 1 8 0 left 48 -1 -1 
183054971 E123 23 1 8 0 left 48 -1 -1 
183057575 E123 23 1 8 0 left 48 2536 0 
183061894 E123 23 1 8 0 left 48 2536 0 
183064894 E123 23 1 8 0 left 48 2536 0 
183064900 E123 23 1 9 0 right 32 -1 -1 
183065912 E123 23 1 9 0 right 32 -1 -1 
183068407 E123 23 1 9 0 right 32 2443 1 
183072919 E123 23 1 9 0 right 32 2443 1 
183075919 E123 23 1 9 0 right 32 2443 1 
183075925 E123 23 1 10 0 right 32 -1 -1 
183076937 E123 23 1 10 0 right 32 -1 -1 
183079989 E123 23 1 10 0 right 32 3000 2 
183084244 E123 23 1 10 0 right 32 3000 2 
183087244 E123 23 1 10 0 right 32 3000 2 
183087250 E123 23 1 11 0 left 16 -1 -1 
183088262 E123 23 1 11 0 left 16 -1 -1 
183091298 E123 23 1 11 0 left 16 3000 2 
183095752 E123 23 1 11 0 left 16 3000 2 
183098752 E123 23 1 11 0 left 16 3000 2 
183098758 E123 23 1 12 0 left 16 -1 -1 
183099771 E123 23 1 12 0 left 16 -1 -1 
183102806 E123 23 1 12 0 left 16 3000 2 
183107378 E123 23 1 12 0 left 16 3000 2 
183110378 E123 23 1 12 0 left 16 3000 2 
183110384 E123 23 1 13 0 left 16 -1 -1 
183111396 E123 23 1 13 0 left 16 -1 -1 
183114431 E123 23 1 13 0 left 16 3000 2 
183119353 E123 23 1 13 0 left 16 3000 2 
183122353 E123 23 1 13 0 left 16 3000 2 
183122359 E123 23 1 14 0 left 16 -1 -1 
183123372 E123 23 1 14 0 left 16 -1 -1 
183126423 E123 23 1 14 0 left 16 3000 2 
183130445 E123 23 1 14 0 left 16 3000 2 
183133445 E123 23 1 14 0 left 16 3000 2 
183133451 E123 23 1 15 0 right 32 -1 -1 
183134463 E123 23 1 15 0 right 32 -1 -1 
183136854 E123 23 1 15 0 right 32 2339 1 
183141553 E123 23 1 15 0 right 32 2339 1 
183144553 E123 23 1 15 0 right 32 2339 1 
183144559 E123 23 1 16 0 left 32 -1 -1 
183145571 E123 23 1 16 0 left 32 -1 -1 
183148623 E123 23 1 16 0 left 32 3000 2 
183153762 E123 23 1 16 0 left 32 3000 2 
183156762 E123 23 1 16 0 left 32 3000 2 
183156768 E123 23 1 17 0 right 48 -1 -1 
183157781 E123 23 1 17 0 right 48 -1 -1 
183160849 E123 23 1 17 0 right 48 3000 2 
183165404 E123 23 1 17 0 right 48 3000 2 
183168404 E123 23 1 17 0 right 48 3000 2 
183168410 E123 23 1 18 0 right 32 -1 -1 
183169422 E123 23 1 18 0 right 32 -1 -1 
183172474 E123 23 1 18 0 right 32 3000 2 
183185485 E123 23 1 18 0 right 32 3000 2 
183188485 E123 23 1 18 0 right 32 3000 2 
183188491 E123 23 1 19 0 left 16 -1 -1 
183189504 E123 23 1 19 0 left 16 -1 -1 
183192539 E123 23 1 19 0 left 16 3000 2 
183197728 E123 23 1 19 0 left 16 3000 2 
183200728 E123 23 1 19 0 left 16 3000 2 
183200734 E123 23 1 20 0 left 16 -1 -1 
183201746 E123 23 1 20 0 left 16 -1 -1 
183202957 E123 23 1 20 0 left 16 1175 1 
183207902 E123 23 1 20 0 left 16 1175 1 
183210902 E123 23 1 20 0 left 16 1175 1 
183210908 E123 23 1 21 0 left 32 -1 -1 
183211921 E123 23 1 21 0 left 32 -1 -1 
183214972 E123 23 1 21 0 left 32 3000 2 
183220228 E123 23 1 21 0 left 32 3000 2 
183223228 E123 23 1 21 0 left 32 3000 2 
183223234 E123 23 1 22 0 left 64 -1 -1 
183224247 E123 23 1 22 0 left 64 -1 -1 
183227332 E123 23 1 22 0 left 64 3000 2 
183232170 E123 23 1 22 0 left 64 3000 2 
183235170 E123 23 1 22 0 left 64 3000 2 
183235176 E123 23 1 23 0 left 48 -1 -1 
183236189 E123 23 1 23 0 left 48 -1 -1 
183238053 E123 23 1 23 0 left 48 1796 1 
183244046 E123 23 1 23 0 left 48 1796 1 
183247046 E123 23 1 23 0 left 48 1796 1 
183247052 E123 23 1 24 0 left 48 -1 -1 
183248064 E123 23 1 24 0 left 48 -1 -1 
183250116 E123 23 1 24 0 left 48 1984 1 
183254170 E123 23 1 24 0 left 48 1984 1 
183257170 E123 23 1 24 0 left 48 1984 1 
183257176 E123 23 1 25 0 left 32 -1 -1 
183258188 E123 23 1 25 0 left 32 -1 -1 
183260676 E123 23 1 25 0 left 32 2436 1 
183266229 E123 23 1 25 0 left 32 2436 1 
183269229 E123 23 1 25 0 left 32 2436 1 
183269235 E123 23 1 26 0 right 48 -1 -1 
183270247 E123 23 1 26 0 right 48 -1 -1 
183271388 E123 23 1 26 0 right 48 1072 1 
183277037 E123 23 1 26 0 right 48 1072 1 
183280037 E123 23 1 26 0 right 48 1072 1 
183280043 E123 23 1 27 0 left 48 -1 -1 
183281055 E123 23 1 27 0 left 48 -1 -1 
183282348 E123 23 1 27 0 left 48 1224 1 
183286894 E123 23 1 27 0 left 48 1224 1 
183289894 E123 23 1 27 0 left 48 1224 1 
183289900 E123 23 1 28 0 right 16 -1 -1 
183290913 E123 23 1 28 0 right 16 -1 -1 
183292820 E123 23 1 28 0 right 16 1872 0 
183296651 E123 23 1 28 0 right 16 1872 0 
183299651 E123 23 1 28 0 right 16 1872 0 
183299657 E123 23 1 29 0 right 48 -1 -1 
183300670 E123 23 1 29 0 right 48 -1 -1 
183301884 E123 23 1 29 0 right 48 1146 1 
183306058 E123 23 1 29 0 right 48 1146 1 
183309058 E123 23 1 29 0 right 48 1146 1 
183309064 E123 23 1 30 0 left 64 -1 -1 
183310077 E123 23 1 30 0 left 64 -1 -1 
183312076 E123 23 1 30 0 left 64 1914 1 
183316099 E123 23 1 30 0 left 64 1914 1 
183319099 E123 23 1 30 0 left 64 1914 1 
183319105 E123 23 1 31 0 left 32 -1 -1 
183320118 E123 23 1 31 0 left 32 -1 -1 
183321300 E123 23 1 31 0 left 32 1131 0 
183325773 E123 23 1 31 0 left 32 1131 0 
183328773 E123 23 1 31 0 left 32 1131 0 
183340195 E123 23 1 32 0 right 48 -1 -1 
183341200 E123 23 1 32 0 right 48 -1 -1 
183343075 E123 23 1 32 0 right 48 1807 1 
183347189 E123 23 1 32 0 right 48 1807 1 
183350189 E123 23 1 32 0 right 48 1807 1 
183350195 E123 23 1 33 0 left 16 -1 -1 
183351207 E123 23 1 33 0 left 16 -1 -1 
183354083 E123 23 1 33 0 left 16 2841 0 
183358581 E123 23 1 33 0 left 16 2841 0 
183361581 E123 23 1 33 0 left 16 2841 0 
183361587 E123 23 1 34 0 right 64 -1 -1 
183362599 E123 23 1 34 0 right 64 -1 -1 
183363546 E123 23 1 34 0 right 64 862 1 
183367220 E123 23 1 34 0 right 64 862 1 
183370220 E123 23 1 34 0 right 64 862 1 
183370226 E123 23 1 35 0 right 64 -1 -1 
183371239 E123 23 1 35 0 right 64 -1 -1 
183372322 E123 23 1 35 0 right 64 998 1 
183376744 E123 23 1 35 0 right 64 998 1 
183379744 E123 23 1 35 0 right 64 998 1 
183379750 E123 23 1 36 0 left 32 -1 -1 
183380762 E123 23 1 36 0 left 32 -1 -1 
183382938 E123 23 1 36 0 left 32 2124 1 
183386968 E123 23 1 36 0 left 32 2124 1 
183389968 E123 23 1 36 0 left 32 2124 1 
183389974 E123 23 1 37 0 right 48 -1 -1 
183390987 E123 23 1 37 0 right 48 -1 -1 
183392250 E123 23 1 37 0 right 48 1195 1 
183397943 E123 23 1 37 0 right 48 1195 1 
183400943 E123 23 1 37 0 right 48 1195 1 
183400949 E123 23 1 38 0 left 64 -1 -1 
183401962 E123 23 1 38 0 left 64 -1 -1 
183403443 E123 23 1 38 0 left 64 1396 1 
183408101 E123 23 1 38 0 left 64 1396 1 
183411101 E123 23 1 38 0 left 64 1396 1 
183411107 E123 23 1 39 0 right 16 -1 -1 
183412119 E123 23 1 39 0 right 16 -1 -1 
183413586 E123 23 1 39 0 right 16 1432 1 
183417958 E123 23 1 39 0 right 16 1432 1 
183420958 E123 23 1 39 0 right 16 1432 1 
183420964 E123 23 1 40 0 right 16 -1 -1 
183421976 E123 23 1 40 0 right 16 -1 -1 
183423785 E123 23 1 40 0 right 16 1774 1 
183428132 E123 23 1 40 0 right 16 1774 1 
183431132 E123 23 1 40 0 right 16 1774 1 
183431138 E123 23 1 41 0 left 32 -1 -1 
183432151 E123 23 1 41 0 left 32 -1 -1 
183434105 E123 23 1 41 0 left 32 1903 1 
183439807 E123 23 1 41 0 left 32 1903 1 
183442807 E123 23 1 41 0 left 32 1903 1 
183442813 E123 23 1 42 0 right 64 -1 -1 
183443826 E123 23 1 42 0 right 64 -1 -1 
183444881 E123 23 1 42 0 right 64 970 1 
183448914 E123 23 1 42 0 right 64 970 1 
183451914 E123 23 1 42 0 right 64 970 1 
183451920 E123 23 1 43 0 right 64 -1 -1 
183452933 E123 23 1 43 0 right 64 -1 -1 
183454113 E123 23 1 43 0 right 64 1095 1 
183459139 E123 23 1 43 0 right 64 1095 1 
183462139 E123 23 1 43 0 right 64 1095 1 
183462149 E123 23 1 44 0 right 32 -1 -1 
183463157 E123 23 1 44 0 right 32 -1 -1 
183465890 E123 23 1 44 0 right 32 2681 1 
183470747 E123 23 1 44 0 right 32 2681 1 
183473747 E123 23 1 44 0 right 32 2681 1 
183473753 E123 23 1 45 0 left 48 -1 -1 
183474766 E123 23 1 45 0 left 48 -1 -1 
